SM0	SMITH
TSN	DAWSON
SNXK	SANTIAGO
NRS	NORRIS
HRT	HARDY
LF	LOVE
STL	STEELE
KR	CURRY
PRS	POWERS
XLTS	SCHULTZ
PRKR	BARKER
KSMN	GUZMAN
PJ	PAGE
MNS	MUNOZ
PL	BALL
KLR	KELLER
XNTLR	CHANDLER
APR	WEBER
LNRT	LEONARD
ALX	WALSH
LNS	LYONS
RMS	RAMSEY
ALF	WOLFE
XNTR	SCHNEIDER
MLNS	MULLINS
PNSN	BENSON
XRP	SHARP
PN	BOWEN
TNL	DANIEL
PRPR	BARBER
KMNKS	CUMMINGS
HNS	HINES
PLTN	BALDWIN
KRF0	GRIFFITH
FLTS	VALDEZ
HPRT	HUBBARD
SLSR	SALAZAR
RFS	REEVES
ARNR	WARNER
STFNSN	STEVENSON
PRJS	BURGESS
SNTS	SANTOS
TT	TATE
KRS	CROSS
KRNR	GARNER
MN	MANN
MK	MACK
MS	MOSS
0RNTN	THORNTON
TNS	DENNIS
MK	MCGEE
FRMR	FARMER
TLKT	DELGADO
AKLR	AGUILAR
FK	VEGA
KLFR	GLOVER
MNNK	MANNING
KHN	COHEN
HRMN	HARMON
RJRS	RODGERS
RPNS	ROBBINS
NTN	NEWTON
TT	TODD
PLR	BLAIR
HKNS	HIGGINS
ANKRM	INGRAM
RS	REESE
KNN	CANNON
STRKLNT	STRICKLAND
TNSNT	TOWNSEND
PTR	POTTER
KTN	GOODWIN
ALTN	WALTON
R	ROWE
HMPTN	HAMPTON
ARTK	ORTEGA
PTN	PATTON
SNSN	SWANSON
JSF	JOSEPH
FRNSS	FRANCIS
KTMN	GOODMAN
MLTNT	MALDONADO
ATS	YATES
PKR	BECKER
ARKSN	ERICKSON
HJS	HODGES
RS	RIOS
KNR	CONNER
ATKNS	ADKINS
APSTR	WEBSTER
NRMN	NORMAN
MLN	MALONE
HMNT	HAMMOND
FLRS	FLOWERS
KP	COBB
MT	MOODY
KN	QUINN
PLK	BLAKE
MKSL	MAXWELL
PP	POPE
FLT	FLOYD
ASPRN	OSBORNE
PL	PAUL
MKR0	MCCARTHY
KRR	GUERRERO
LNTS	LINDSEY
ASTRT	ESTRADA
SNTFL	SANDOVAL
KPS	GIBBS
TLR	TYLER
KRS	GROSS
FTSKRLT	FITZGERALD
STKS	STOKES
TL	DOYLE
XRMN	SHERMAN
SNTRS	SAUNDERS
AS	WISE
KLN	COLON
KL	GILL
ALFRT	ALVARADO
KRR	GREER
PTL	PADILLA
SMN	SIMON
ATRS	WATERS
NNS	NUNEZ
PLRT	BALLARD
XRTS	SCHWARTZ
MKPRT	MCBRIDE
HSTN	HOUSTON
XRSTNSN	CHRISTENSEN
KLN	KLEIN
PRT	PRATT
PRKS	BRIGGS
PRSNS	PARSONS
MKLFLN	MCLAUGHLIN
SMRMN	ZIMMERMAN
FRNX	FRENCH
PXNN	BUCHANAN
MRN	MORAN
KPLNT	COPELAND
R	ROY
PTMN	PITTMAN
PRT	BRADY
MKRMK	MCCORMICK
HL	HOLLOWAY
PRK	BROCK
PL	POOLE
FRNK	FRANK
LKN	LOGAN
AN	OWEN
PS	BASS
MRX	MARSH
TRK	DRAKE
ANK	WONG
JFRSN	JEFFERSON
PRK	PARK
MRTN	MORTON
APT	ABBOTT
SPRKS	SPARKS
PTRK	PATRICK
NRTN	NORTON
HF	HUFF
KLTN	CLAYTON
MS	MASSEY
LT	LLOYD
FKR	FIGUEROA
KRSN	CARSON
PRS	BOWERS
RPRSN	ROBERSON
PRTN	BARTON
TRN	TRAN
LMP	LAMB
HRNKTN	HARRINGTON
KS	CASEY
PN	BOONE
KRTS	CORTEZ
KLRK	CLARKE
M0S	MATHIS
SNKLTN	SINGLETON
ALKNS	WILKINS
KN	CAIN
PRN	BRYAN
ANTRT	UNDERWOOD
HKN	HOGAN
MKNS	MCKENZIE
KLR	COLLIER
LN	LUNA
FLPS	PHELPS
MKR	MCGUIRE
ALSN	ALLISON
PRJS	BRIDGES
ALKRSN	WILKERSON
NX	NASH
SMRS	SUMMERS
ATKNS	ATKINS
ALKKS	WILCOX
PTS	PITTS
KNL	CONLEY
MRKS	MARQUEZ
PRNT	BURNETT
RXRT	RICHARD
KKRN	COCHRAN
XS	CHASE
TFNPRT	DAVENPORT
HT	HOOD
KTS	GATES
KL	CLAY
AL	AYALA
SR	SAWYER
RMN	ROMAN
FSKS	VAZQUEZ
TKRSN	DICKERSON
HJ	HODGE
AKST	ACOSTA
FLN	FLYNN
ASPNS	ESPINOZA
NXLSN	NICHOLSON
MNR	MONROE
ALF	WOLF
MR	MORROW
KRK	KIRK
RNTL	RANDALL
AN0N	ANTHONY
ATKR	WHITAKER
AKNR	OCONNOR
SKNR	SKINNER
AR	WARE
MLN	MOLINA
KRP	KIRBY
HFMN	HUFFMAN
PRTFRT	BRADFORD
XRLS	CHARLES
KLMR	GILMORE
TMNKS	DOMINGUEZ
ANL	ONEAL
PRS	BRUCE
LNK	LANG
KMPS	COMBS
KRMR	KRAMER
H0	HEATH
HNKK	HANCOCK
KLKR	GALLAGHER
KNS	GAINES
XFR	SHAFFER
XRT	SHORT
AKNS	WIGGINS
M0S	MATHEWS
MKLN	MCCLAIN
FXR	FISCHER
AL	WALL
SML	SMALL
MLTN	MELTON
HNSL	HENSLEY
PNT	BOND
TR	DYER
KMRN	CAMERON
KRMS	GRIMES
KNTRRS	CONTRERAS
XRSXN	CHRISTIAN
AT	WYATT
PKSTR	BAXTER
SN	SNOW
MSL	MOSLEY
XFRT	SHEPHERD
LRSN	LARSEN
HFR	HOOVER
PSL	BEASLEY
KLN	GLENN
PTRSN	PETERSEN
ATHT	WHITEHEAD
MRS	MEYERS
K0	KEITH
KRSN	GARRISON
FNSNT	VINCENT
XLTS	SHIELDS
HRN	HORN
SFJ	SAVAGE
ALSN	OLSEN
XRTR	SCHROEDER
HRTMN	HARTMAN
ATRT	WOODARD
MLR	MUELLER
KMP	KEMP
TLN	DELEON
P0	BOOTH
PTL	PATEL
KLN	CALHOUN
AL	WILEY
ATN	EATON
KLN	CLINE
NFR	NAVARRO
HRL	HARRELL
LSTR	LESTER
HMFR	HUMPHREY
PRX	PARRISH
TRN	DURAN
HXNSN	HUTCHINSON
HS	HESS
TRS	DORSEY
PLK	BULLOCK
RPLS	ROBLES
PRT	BEARD
TLTN	DALTON
AFL	AVILA
FNS	VANCE
RX	RICH
PLKL	BLACKWELL
ARK	YORK
JNS	JOHNS
PLNKNXP	BLANKENSHIP
TRFN	TREVINO
SLNS	SALINAS
KMPS	CAMPOS
PRT	PRUITT
MSS	MOSES
KLHN	CALLAHAN
KLTN	GOLDEN
MNT	MONTOYA
HRTN	HARDIN
KR	GUERRA
MKTL	MCDOWELL
KR	CAREY
STFRT	STAFFORD
KLKS	GALLEGOS
HNSN	HENSON
ALKNSN	WILKINSON
PKR	BOOKER
MRT	MERRITT
MRNT	MIRANDA
ATKNSN	ATKINSON
AR	ORR
TKR	DECKER
HPS	HOBBS
PRSTN	PRESTON
TNR	TANNER
NKS	KNOX
PXK	PACHECO
STFNSN	STEPHENSON
KLS	GLASS
RJS	ROJAS
SRN	SERRANO
MRKS	MARKS
HKMN	HICKMAN
ANKNX	ENGLISH
SN	SWEENEY
STRNK	STRONG
PRNS	PRINCE
MKLR	MCCLURE
KN	CONWAY
ALTR	WALTER
R0	ROTH
MNRT	MAYNARD
FRL	FARRELL
LR	LOWERY
HRST	HURST
NKSN	NIXON
AS	WEISS
TRJL	TRUJILLO
ALSN	ELLISON
SLN	SLOAN
JRS	JUAREZ
ANTRS	WINTERS
MKLN	MCLEAN
RNTLF	RANDOLPH
LN	LEON
PR	BOYER
FLRL	VILLARREAL
MKL	MCCALL
JNTR	GENTRY
KRL	CARRILLO
KNT	KENT
ARS	AYERS
LR	LARA
XNN	SHANNON
SKSTN	SEXTON
PS	PACE
HL	HULL
LPLNK	LEBLANC
PRNNK	BROWNING
FLSKS	VELASQUEZ
LX	LEACH
XNK	CHANG
HS	HOUSE
SLRS	SELLERS
HRNK	HERRING
NPL	NOBLE
FL	FOLEY
PRTLT	BARTLETT
MRKT	MERCADO
LNTR	LANDRY
TRM	DURHAM
ALS	WALLS
PR	BARR
MK	MCKEE
PR	BAUER
RFRS	RIVERS
AFRT	EVERETT
PRTX	BRADSHAW
PK	PUGH
FLS	VELEZ
RX	RUSH
ASTS	ESTES
TTSN	DODSON
MRS	MORSE
XPRT	SHEPPARD
AKS	WEEKS
KMK	CAMACHO
PN	BEAN
PRN	BARRON
LFNKSTN	LIVINGSTON
MTLTN	MIDDLETON
SPRS	SPEARS
PRNX	BRANCH
PLFNS	BLEVINS
XN	CHEN
KR	KERR
MKNL	MCCONNELL
HTFLT	HATFIELD
HRTNK	HARDING
AXL	ASHLEY
SLS	SOLIS
HRMN	HERMAN
FRST	FROST
KLS	GILES
PLKPRN	BLACKBURN
ALM	WILLIAM
PNNKTN	PENNINGTON
ATRT	WOODWARD
FNL	FINLEY
MSNTX	MCINTOSH
KX	KOCH
PST	BEST
SLMN	SOLOMON
MKLF	MCCULLOUGH
TTL	DUDLEY
NLN	NOLAN
PLNXRT	BLANCHARD
RFS	RIVAS
PRNN	BRENNAN
MJ	MEJIA
KN	KANE
PNTN	BENTON
JS	JOYCE
PKL	BUCKLEY
HL	HALEY
FLNTN	VALENTINE
MTKS	MADDOX
RS	RUSSO
MKNKT	MCKNIGHT
PK	BUCK
MN	MOON
MKMLN	MCMILLAN
KRSP	CROSBY
PRK	BERG
TTSN	DOTSON
MS	MAYS
RX	ROACH
XRX	CHURCH
XN	CHAN
RXMNT	RICHMOND
MTS	MEADOWS
FLKNR	FAULKNER
ANL	ONEILL
NP	KNAPP
KLN	KLINE
PR	BARRY
AX	OCHOA
JKPSN	JACOBSON
K	GAY
AFR	AVERY
HNTRKS	HENDRICKS
HRN	HORNE
XPRT	SHEPARD
HPRT	HEBERT
XR	CHERRY
KRTNS	CARDENAS
MSNTR	MCINTYRE
ATN	WHITNEY
ALR	WALLER
HLMN	HOLMAN
TNLTSN	DONALDSON
KNT	CANTU
TRL	TERRELL
MRN	MORIN
KLSP	GILLESPIE
FNTS	FUENTES
TLMN	TILLMAN
SNFRT	SANFORD
PNTL	BENTLEY
PK	PECK
K	KEY
SLS	SALAS
RLNS	ROLLINS
KMPL	GAMBLE
TKSN	DICKSON
PTL	BATTLE
SNTN	SANTANA
KPRR	CABRERA
SRFNTS	CERVANTES
H	HOWE
HNTN	HINTON
HRL	HURLEY
SPNS	SPENCE
SMR	ZAMORA
ANK	YANG
MKNL	MCNEIL
SRS	SUAREZ
KS	CASE
PT	PETTY
KLT	GOULD
MKFRLNT	MCFARLAND
SMPSN	SAMPSON
KRFR	CARVER
PR	BRAY
RSR	ROSARIO
MKTNLT	MACDONALD
STT	STOUT
HSTR	HESTER
MLNTS	MELENDEZ
TLN	DILLON
FRL	FARLEY
HPR	HOPPER
KL	GALLOWAY
PTS	POTTS
PRNRT	BERNARD
JNR	JOYNER
STN	STEIN
AKR	AGUIRRE
ASPRN	OSBORN
MRSR	MERCER
PNTR	BENDER
FRNK	FRANCO
RLNT	ROWLAND
SKS	SYKES
PNJMN	BENJAMIN
TRFS	TRAVIS
PKT	PICKETT
KRN	CRANE
SRS	SEARS
M	MAYO
TNLP	DUNLAP
HTN	HAYDEN
ALTR	WILDER
MK	MCKAY
KF	COFFEY
MKRT	MCCARTY
ANK	EWING
KL	COOLEY
FKN	VAUGHAN
PNR	BONNER
KTN	COTTON
HLTR	HOLDER
STRK	STARK
FRL	FERRELL
KNTRL	CANTRELL
FLTN	FULTON
LN	LYNN
LT	LOTT
KLTRN	CALDERON
RS	ROSA
PLRT	POLLARD
HPR	HOOPER
PRX	BURCH
MLN	MULLEN
FR	FRY
RTL	RIDDLE
LF	LEVY
TFT	DAVID
TK	DUKE
ATNL	ODONNELL
K	GUY
MKL	MICHAEL
PRT	BRITT
FRTRK	FREDERICK
TRT	DAUGHERTY
PRKR	BERGER
TLRT	DILLARD
ALSTN	ALSTON
JRFS	JARVIS
FR	FRYE
RKS	RIGGS
XN	CHANEY
ATM	ODOM
TF	DUFFY
FTSPTRK	FITZPATRICK
FLNSL	VALENZUELA
MRL	MERRILL
MR	MAYER
ALFRT	ALFORD
MKFRSN	MCPHERSON
ASFT	ACEVEDO
TNFN	DONOVAN
PRR	BARRERA
ALPRT	ALBERT
KT	COTE
RL	REILLY
KMPTN	COMPTON
RMNT	RAYMOND
MN	MOONEY
MKN	MCGOWAN
KRFT	CRAFT
KLFLNT	CLEVELAND
KLMNS	CLEMONS
AN	WYNN
NLSN	NIELSEN
PRT	BAIRD
STNTN	STANTON
SNTR	SNIDER
RSLS	ROSALES
PRT	BRIGHT
AT	WITT
STRT	STUART
HS	HAYS
HLTN	HOLDEN
RTLJ	RUTLEDGE
KN	KINNEY
KLMNTS	CLEMENTS
KSTNT	CASTANEDA
SLTR	SLATER
HN	HAHN
AMRSN	EMERSON
KNRT	CONRAD
PRKS	BURKS
TLN	DELANEY
PT	PATE
