SM0	SMITH
KPN	COPEN
KNSKN	CONSIGLIO
KMPS	COMBES
KFR	COFFER
KKRL	COCKRILL
KT	COAD
KLKSTN	CLOGSTON
KLSN	CLASEN
XK	CHOCK
XSNT	CHESNUTT
XRR	CHARRIER
XN	CHAIN
XTPRN	CHADBURN
SRNKN	CERNIGLIA
SPL	CEBULA
KSTRT	CASTRUITA
KSTL	CASTILLA
KSTLT	CASTALDI
KSPR	CASEBEER
KSKRNT	CASAGRANDE
KRT	CARTA
KRLS	CARRALES
KRNL	CARNLEY
KRTN	CARDON
KRSK	CARASCO
KPX	CAPSHAW
KPRN	CAPRON
KPL	CAPPIELLO
KPT	CAPITO
KN	CANNEY
KNTL	CANDELA
KMNT	CAMINITI
KLFN	CALIFANO
KLK	CALICO
KLPR	CALABRIA
KS	CAIAZZO
KHL	CAHALL
PSM	BUSCEMI
PRTNR	BURTNER
PRKTRF	BURGDORF
PR	BUREAU
PRT	BURDO
PFL	BUFFALOE
PKLT	BUCHWALD
PRN	BRWON
PRNK	BRUNKE
PRMNT	BRUMMOND
PRM	BRUMM
PR	BROE
PRSS	BROCIOUS
PRKT	BROCATO
PR	BRO
PRTN	BRITAIN
PRSK	BRISKI
PRSKR	BRISKER
PRTL	BRIGHTWELL
PRST	BRESETT
PRNR	BREINER
PRS	BRAZEAU
PRS	BRAZ
PRMN	BRAYMAN
PRNTS	BRANDIS
PRMR	BRAMER
PRTN	BRADEEN
PK	BOYKO
PRPN	BOURBON
PS	BOSSI
PXRT	BOSHART
PRTL	BORTLE
PNL	BONIELLO
PMKRTNR	BOMGARDNER
PLS	BOLZ
PLNP	BOLENBAUGH
PLNK	BOHLING
PLNT	BOHLAND
PXNK	BOCHENEK
PLST	BLUST
PLKSM	BLOXHAM
PL	BLOWE
PLX	BLISH
PLKTR	BLACKWATER
PJLNT	BJELLAND
PRS	BIROS
PRKT	BIRKHEAD
PTRMN	BIEDERMAN
PKL	BICKLE
PLSSK	BIALASZEWSKI
PFL	BEVIL
PFRL	BEVERLEY
PMR	BEUMER
PTNKR	BETTINGER
PS	BESSE
PRNT	BERNETT
PRMJ	BERMEJO
PMNT	BEMENT
PLFLT	BELFIELD
PKLR	BECKLER
PTRS	BEATRICE
PKSNTL	BAXENDALE
PTRF	BATDORF
PSTN	BASTIN
PXR	BASHORE
PSKMP	BASCOMBE
PRTLP	BARTLEBAUGH
PRX	BARSH
PLNTN	BALLANTINE
PL	BAHL
PTN	BADON
PXLR	BACHELOR
ATN	AUTIN
AT	AUDIE
ASTN	ASTIN
ASK	ASKEY
AXR	ASCHER
ARK	ARRIGO
ARPTR	ARBEITER
ANTS	ANTES
ANKRS	ANGERS
AMPRN	AMBURN
AMRNT	AMARANTE
ALFTRS	ALVIDREZ
AL0S	ALTHAUS
ALMNT	ALLMOND
ALFR	ALFIERI
ALTNKR	ALDINGER
AKRL	AKERLEY
AKN	AKANA
AKNS	AIKINS
ATR	ADER
ASPT	ACEBEDO
AKRT	ACCARDO
APL	ABILA
APRL	ABERLE
APL	ABELE
APT	ABBOUD
SLRS	ZOLLARS
SMRR	ZIMMERER
SMN	ZIEMAN
SRP	ZERBY
SLMN	ZELMAN
SLRS	ZELLARS
AL	YULE
AXMR	YOSHIMURA
ANTS	YONTS
ATS	YEATS
ANT	YANT
AMNK	YAMANAKA
ALNT	WYLAND
ANX	WUENSCHE
ARMN	WORMAN
ARTL	WORDLAW
AL	WOHL
ANSLT	WINSLETT
ANPRK	WINBERG
ALM0	WILMETH
ALKT	WILLCUTT
ARS	WIERS
AMR	WIEMER
AKR	WICKWIRE
AXMN	WICHMAN
ATNK	WHITTING
ATP	WHIDBEE
ASTRKRT	WESTERGARD
AMR	WEMMER
ALNR	WELLNER
AXPT	WEISHAUPT
ANRT	WEINERT
ATN	WEEDON
ANK	WAYNICK
ASLSK	WASIELEWSKI
ARN	WAREN
ALR0	WALWORTH
ALNKFRT	WALLINGFORD
ALK	WALKE
AKTR	WAECHTER
FFN	VIVIANI
FT	VITTI
FLKRN	VILLAGRANA
FN	VIEN
FKS	VICKS
FNM	VENEMA
FRNS	VARNES
FRNT	VARNADOE
FRTN	VARDEN
FNPTN	VANPATTEN
FNRTN	VANORDEN
FNTRS	VANDERZEE
FNTNPRK	VANDENBURG
FNTH	VANDEHEY
FLS	VALLS
FLRT	VALLARTA
FLTRM	VALDERRAMA
FLT	VALADE
ARMN	URMAN
ALR	ULERY
TS	TUSA
TFT	TUFT
TRPL	TRIPOLI
TRMP	TRIMPE
TRK	TRICKEY
TRTR	TORTORA
TRNS	TORRENS
TRK	TORCHIA
TFT	TOFT
TJTN	TJADEN
TSN	TISON
TNTL	TINDEL
0RMN	THURMON
0T	THODE
TRTN	TARDUGNO
TNKRT	TANCREDI
TKT	TAKETA
TLN	TAILLON
TKL	TAGLE
STSM	SYTSMA
SMS	SYMES
SNTL	SWINDALL
SSKT	SWICEGOOD
SRTT	SWARTOUT
SNTSTRM	SUNDSTROM
SMNRS	SUMNERS
SLTN	SULTON
STTSTL	STUDSTILL
STTNT	STUDENT
STRP	STROOP
STNRK	STONEROCK
STMR	STMARIE
STLRNS	STLAWRENCE
STM	STEMM
STNSR	STEINHAUSER
STNRT	STEINERT
STFNSN	STEFFENSEN
STFN	STEFANO
STFNK	STEFANIAK
STRK	STARCK
STLSR	STALZER
SPTL	SPIDLE
SPK	SPAKE
SNSK	SOWINSKI
SSNSK	SOSNOWSKI
SRPR	SORBER
SM	SOMMA
SLT	SOLIDAY
SLTNR	SOLDNER
SJ	SOJA
STRSTRM	SODERSTROM
STR	SODER
SKL	SOCKWELL
SPS	SOBUS
SNPL	SNOWBALL
SLP	SLOOP
SKTR	SKEETER
SNR	SINNER
SNKFLT	SINKFIELD
SMRL	SIMERLY
SLKR	SILGUERO
SK	SIGG
SMRS	SIEMERS
SKMNT	SIEGMUND
STL	SIDLE
XM	SHUM
XLTS	SHOLTIS
XKRL	SHKRELI
XK	SHEIKH
XTLS	SHATTLES
XRL	SHARLOW
X	SHAO
XMP	SHAMBAUGH
XK	SHAIKH
SR	SERRAO
SRFN	SERAFINO
SL	SELLEY
SL	SELLE
SL	SEEL
STPR	SEDBERRY
SKRT	SECORD
ST	SEAT
XNK	SCHUNK
XK	SCHUCH
XR	SCHOR
XLS	SCHOLZE
XN	SCHNEE
XMTR	SCHMIEDER
XLK	SCHLEICH
XMPF	SCHIMPF
XRF	SCHERF
STR0T	SATTERTHWAITE
SSN	SASSON
SRKSN	SARKISIAN
SRNN	SARINANA
SNSN	SANZONE
SLFS	SALVAS
SLN	SALONE
SLT	SALIDO
SK	SAIKI
SR	SAHR
RXR	RUSHER
RSK	RUSEK
RS	RUSE
RPL	RUPPEL
RP	RUBI
RPL	RUBEL
RK	ROUGH
R0FS	ROTHFUSS
R0NPRKR	ROTHENBERGER
RSL	ROSSELL
RSNKST	ROSENQUIST
RSPRK	ROSEBROOK
RMT	ROMITO
RMNS	ROMINES
RLNT	ROLANDO
RLN	ROLAN
RKR	ROKER
RRK	ROEHRIG
RKLT	ROCKHOLD
RK	ROCCA
RPK	ROBUCK
RS	RISS
RNLT	RINALDO
RKT	RIGHT
RKNPK	RIGGENBACH
RSNTS	REZENTES
R0R	REUTHER
RPN	REUBEN
RNLTS	RENOLDS
RNX	RENCH
RMS	REMUS
RMSN	REMSEN
RLR	RELLER
RLF	RELF
RTSL	REITZEL
RHR	REIHER
RTR	REHDER
RTKR	REDEKER
RMR	RAMERO
RHM	RAHAIM
RTS	RADICE
KJS	QUIJAS
KL	QUALEY
PRKSN	PURGASON
PRM	PRUM
PRTFT	PROUDFOOT
PRK	PROCK
PRPRT	PROBERT
PRNTP	PRINTUP
PRMR	PRIMER
PRMFR	PRIMAVERA
PRNT	PRENATT
PRTK	PRATICO
PLX	POLICH
PTKK	PODKOWKA
PTST	PODESTA
PLTNR	PLATTNER
PLS	PLASSE
PLMNTN	PLAMONDON
PTMN	PITTMON
PPNKR	PIPPENGER
PN	PINEO
PRPNT	PIERPONT
PTSLT	PETZOLD
PTS	PETZ
PT	PETTIWAY
PTRS	PETTERS
PTRSK	PETROSKI
PTRK	PETRIK
PSL	PESOLA
PRXL	PERSHALL
PRLMTR	PERLMUTTER
PNPNT	PENEPENT
PF	PEEVY
PXSK	PECHACEK
PRS	PEARS
PTN	PEADEN
PSS	PAZOS
PF	PAVIA
PSKRL	PASCARELLI
PRM	PARM
PRL	PARILLO
PRFT	PARFAIT
PLT	PAOLETTI
PLMP	PALOMBA
PLNS	PALENCIA
PKTN	PAGADUAN
AKSNR	OXNER
AFRFLT	OVERFIELD
AFRKST	OVERCAST
ALT	OULLETTE
AK	OUK
ASTRF	OSTROFF
AS	OSEI
AMR	OMARAH
ALNK	OLENICK
AL	OLAH
ATM	ODEM
NKRN	NYGREN
NTR	NOTARO
NR0KT	NORTHCOTT
NTN	NODINE
NLJS	NILGES
NMN	NEYMAN
NF	NEVE
NNTRF	NEUENDORF
NPTN	NEPTUNE
NLR	NEISLER
NLT	NEAULT
NRSS	NARCISO
NF	NAFF
MSKRL	MUSCARELLA
MN	MUN
MST	MOST
MRST	MORRISETTE
MRF	MORPHEW
MRN	MOREIN
MR	MOR
MNTFL	MONTVILLE
MNTFR	MONTUFAR
MNTSNS	MONTESINOS
MNTRS	MONTERROSO
MNKLT	MONGOLD
MN	MONA
MJR	MOJARRO
MTS	MOITOSO
MT	MODE
MRRX	MIRARCHI
MRNT	MIRANDO
MNK	MINOGUE
MLS	MILICI
MK	MIGA
MTT	MIDYETT
MXN	MICHNA
M	MEY
MSR	MEUSER
MSN	MESSANA
MNS	MENZIE
MNS	MENZ
MNTSN	MENDICINO
MLN	MELONE
MLX	MELLISH
MLR	MELLER
ML	MELLE
MNTS	MEINTS
MXM	MECHEM
MLR	MEALER
MKLM	MCWILLIAM
MKT	MCWHITE
MKKN	MCQUIGGAN
MKFLPS	MCPHILLIPS
MKPRTLN	MCPARTLAND
MKNLS	MCNELLIS
MKMKN	MCMACKIN
MKLFN	MCLAUGHIN
MKN	MCKINNY
MK0N	MCKEITHAN
MKRK	MCGUIRK
MKLFR	MCGILLIVRAY
MKR	MCGARR
MKH	MCGAHEE
MKFL	MCFAUL
MKFTN	MCFADIN
MSN	MCEUEN
MKL	MCCULLAH
MKNK	MCCONICO
MKLRN	MCCLAREN
MKL	MCCAUL
MKL	MCCALLEY
MKLSTR	MCCALISTER
MSR	MAZER
MSN	MAYSON
MHN	MAYHAN
MKR	MAUGERI
MKR	MAUGER
MTKS	MATTIX
MTS	MATTEWS
MSLSK	MASLOWSKI
MSK	MASEK
MRTR	MARTIR
MRX	MARSCH
MRKS	MARQUESS
MRN	MARON
MRKL	MARKWELL
MRK	MARKOW
MRNR	MARINARO
MRT	MARIETTA
MRSNK	MARCINEK
MNR	MANNER
MNL	MANNELLA
MNK	MANGO
MLN	MALLEN
MJT	MAJEED
MNK	MAHNKE
MHPR	MAHABIR
MKP	MAGBY
MKLN	MAGALLAN
MTR	MADERE
MKNK	MACHNIK
LPRNT	LYBRAND
LK	LUQUE
LNTLM	LUNDHOLM
LTRS	LUEDERS
LSN	LUCIAN
LPNSK	LUBINSKI
L	LOWY
L	LOEW
LPRT	LIPPARD
LNSN	LINSON
LNTPLT	LINDBLAD
LKTKP	LIGHTCAP
LFTSK	LEVITSKY
LFNS	LEVENS
LNRT	LEONARDI
LNTN	LENTON
LNKL	LENGYEL
LNK	LENG
LTSL	LEITZEL
LKT	LEICHT
LFR	LEAVER
LPXR	LAUBSCHER
LX	LASHUA
LRS	LARUSSO
LRMR	LARRIMORE
LNTRMN	LANTERMAN
LN	LANNI
LNS	LANASA
LMR	LAMOUREAUX
LMPRS	LAMBROS
LMPRN	LAMBORN
LMPRT	LAMBERTI
LL	LALL
LKS	LAGOS
LFNT	LAFUENTE
LFRR	LAFERRIERE
LKNT	LACONTE
KKR	KYGER
KPK	KUPIEC
KNSMN	KUNZMAN
KN	KUEHNE
KTR	KUDER
KPT	KUBAT
KRK	KROGH
KRTLR	KREIDLER
KRK	KRAWIEC
KR0	KRAUTH
KRTK	KRATKY
KTTS	KOTTWITZ
KRP	KORB
KN	KONO
KLMN	KOLMAN
KLSR	KOLESAR
KPL	KOEPPEL
NPR	KNAPPER
KLNJNPR	KLINGENBERG
KS	KJOS
KPL	KEPPEL
KNN	KENNAN
KLTS	KELTZ
KLH	KEALOHA
KSL	KASEL
KRN	KARNEY
KN	KANNE
KMRSK	KAMROWSKI
KK	KAGAWA
J	JOO
JNSN	JOHNOSN
JSF	JOESPH
JLK	JILEK
JRF	JARVIE
JRT	JARRET
JNSK	JANSKY
JKMN	JACQUEMIN
JKKS	JACOX
JKM	JACOME
ATLN	ITALIANO
ARRT	IRIARTE
ANKRSN	INGWERSEN
AMPTN	IMBODEN
AKLS	IGLESIA
HSR	HUYSER
HRSTN	HURSTON
HRX	HURSH
HNTN	HUNTOON
HTMN	HUDMAN
HNK	HOYING
HRSMN	HORSMAN
HRKN	HORRIGAN
HRNPKR	HORNBAKER
HRX	HORIUCHI
HPL	HOPEWELL
HP	HOOP
HML	HOMMEL
HMR	HOMEYER
HLSNKR	HOLZINGER
HLMR	HOLMER
HL	HOLLOW
HPXR	HIPSHER
HNXMN	HINCHMAN
HLTS	HILTS
HKNPTM	HIGGINBOTTOM
HP	HIEB
HN	HEYNE
HSLNK	HESSLING
HSLR	HESLER
HRTLN	HERTLEIN
HRFRT	HERFORD
HRS	HERAS
HNRKSN	HENRICKSEN
HNMN	HENNEMANN
HNR	HENERY
HNTRXT	HENDERSHOTT
HMSTRT	HEMSTREET
HN	HEINEY
HKRT	HECKERT
HTL	HEATLEY
HSL	HAZELL
HSN	HAZAN
HXT	HAYASHIDA
HSLR	HAUSLER
HRTS	HARTSOE
HR0	HARTH
HRT	HARRIOTT
HRJR	HARRIGER
HRPN	HARPIN
HRTST	HARDISTY
HRJ	HARDGE
H	HAO
HNMN	HANNAMAN
HNS	HANNAHS
HMP	HAMP
HMRSM0	HAMMERSMITH
HMTN	HAMITON
HLSL	HALSELL
HLTRMN	HALDERMAN
HK	HAGGE
HPL	HABEL
KSLR	GUSLER
KXKN	GUSHIKEN
KR	GURR
KMR	GUMMER
KLK	GULLICK
KRNTN	GRUNDEN
KRX	GROSCH
KRNPRK	GREENBURG
KRP	GREB
KRFR	GREAVER
KRTS	GRATZ
KRJLS	GRAJALES
KRL	GOURLAY
KT	GOTTO
KRL	GORLEY
KTPSTR	GOODPASTURE
KTRT	GODARD
KLRS	GLORIOSO
KLR	GLOOR
KLSKK	GLASCOCK
JS	GIZZI
JRR	GIROIR
KPLT	GIBEAULT
KLTN	GAULDIN
KR	GAUER
KRTN	GARTIN
KRLS	GARRELS
KMPR	GAMBER
KLKL	GALLOGLY
KL	GALLEY
KT	GADE
FSR	FUSARO
FRP	FRIPP
FRR	FREYER
FRPRK	FREIBERG
FRNSN	FRANZONI
FRKL	FRAGALE
FSTN	FOSTON
FRT	FORTI
FRNS	FORNESS
FLTS	FOLTS
FLL	FOLLOWELL
FRT	FOARD
FLM	FLOM
FLNK	FLING
FLT	FLETT
FLTS	FLEITAS
FLM	FLAMM
FN	FINO
FNN	FINNEN
FNXM	FINCHUM
FLPL	FILIPPELLI
FKL	FICKEL
FKT	FEUCHT
FLR	FEILER
FNSTR	FEENSTRA
FJNS	FEAGINS
FFR	FAVER
F	FAUX
FLKNPR	FAULKENBERRY
FRP	FARABAUGH
FNTL	FANDEL
FLN	FALLEN
FLR	FALER
FFR	FAIVRE
FR	FAIREY
FS	FACEY
AKSNR	EXNER
AFNSN	EVENSEN
ARN	ERION
ARPN	ERBEN
APTNK	EPTING
APNK	EPPING
AFRM	EPHRAIM
ANKPRK	ENGBERG
ALSN	ELSEN
ALNKT	ELLINGWOOD
ALN	ELLEN
ASNMN	EISENMANN
AXMN	EICHMAN
AL	EHLE
ATSL	EDSALL
AKLS	EAGLES
TRL	DURALL
TPLR	DUPLER
TNKR	DUNKER
TML	DUMLAO
TFRT	DUFORD
TF	DUFFIE
TTNK	DUDDING
TRS	DRIES
TNK	DOUNG
TRNTS	DORANTES
TNH	DONAHOO
TMNK	DOMENICK
TLNS	DOLLINS
TPLS	DOBLES
TPS	DIPIAZZA
TN	DINO
TM	DIMEO
TM	DIEHM
TSK	DICICCO
TFN	DEVIN
TFNPRT	DEVENPORT
TSRM	DESORMEAUX
TR	DERROW
TPL	DEPAOLO
TNFR	DENVER
TNS	DENISE
TMS	DEMAS
TLPRR	DELPRIORE
TLSNTS	DELOSANTOS
TL	DELA
TKRN	DEGREENIA
TJNRT	DEGENHARDT
TFRNSSK	DEFRANCESCO
TFNP	DEFENBAUGH
TTS	DEETS
TPNS	DEBONIS
TR	DEARY
TS	DAZEY
TRJ	DARGIE
TMPRS	DAMBROSIA
TLL	DALAL
TJN	DAGEN
KN	CUN
KN	CUEN
KRP	CRUPI
KRSN	CROSSAN
KRXL	CRICHLOW
KRK	CREQUE
KTS	COUTTS
KNS	COUNCE
KRM	CORAM
KNSTNT	CONSTANTE
KNN	CONNON
KLL	COLLELO
KT	COIT
KKLN	COCKLIN
KPLNTS	COBLENTZ
KP	COBEY
KRT	COARD
KLTS	CLUTTS
KLNKN	CLINGAN
KL	CLAW
KLMPT	CLAMPITT
KLS	CLAEYS
SL	CIULLA
SMN	CIMINI
SMP	CIAMPA
XRSTN	CHRISTON
XT	CHOAT
X	CHIOU
XNL	CHENAIL
XFS	CHAVOUS
KT	CATTO
KTLFM	CATALFAMO
KSTRLN	CASTERLINE
KSNL	CASSINELLI
KSPRS	CASPERS
KR	CARROWAY
KRLN	CARLEN
KR0RS	CARITHERS
KPL	CAPPEL
KL	CALO
KL	CALLOW
KLNTR	CALANDRA
KKL	CAGLEY
KFRT	CAFFERTY
PN	BYUN
PM	BYAM
PTNR	BUTTNER
P0	BUTH
PRTNX	BURTENSHAW
PRJT	BURGET
PRFLT	BURFIELD
PRX	BURESH
PNT	BUNT
PLTMN	BULTMAN
PL	BULOW
PKT	BUCHTA
PKMN	BUCHMANN
PRNT	BRUNETT
PRMR	BRUEMMER
PRKMN	BRUEGGEMAN
PRT	BRITTO
PRN	BRINEY
PRML	BRIMHALL
PRPSK	BRIBIESCA
PRSLR	BRESLER
PRSN	BRAZAN
PRXR	BRASHIER
PRR	BRAR
PRNTSTT	BRANDSTETTER
PRNT	BRANDI
PS	BOZE
PNSTR	BOONSTRA
PLT	BLUITT
PLMKRN	BLOMGREN
PLTNR	BLATTNER
PLS	BLASI
PLTN	BLADEN
PTRMN	BITTERMAN
PLP	BILBY
PRS	BIERCE
PL	BIELLO
PTS	BETTES
PRTN	BERTONE
PR	BERREY
PRNT	BERNAT
PRPRX	BERBERICH
PNXF	BENSHOOF
PNTKSN	BENDICKSON
PL	BELOW
PLFL	BELLEFEUILLE
PTNRSK	BEDNARSKI
PTNKFLT	BEDDINGFIELD
PKRMN	BECKERMAN
PSTN	BEASTON
PFR	BAVARO
PTL	BATALLA
PS	BASYE
PSKNS	BASKINS
PRTLT	BARTOLOTTA
PRTKSK	BARTKOWSKI
PRNK	BARRANCO
PRKT	BARKETT
PNT	BAND
PNSK	BANASZAK
PM	BAME
PMPRKR	BAMBERGER
PLSL	BALSLEY
PLS	BALLAS
PLK	BALICKI
PLTNK	BALDING
PLT	BALD
PTR	BADURA
AMNT	AYMOND
ALR	AYLOR
ALSR0	AYLESWORTH
AKSL	AXLEY
AKSLRT	AXELROD
APRT	AUBERT
ARMNT	ARMOND
ARS	ARIZA
APSL	APICELLA
ANSTN	ANSTINE
ANKRM	ANKROM
ANJFN	ANGEVINE
ANKR	ANGER
ANTRT	ANDREOTTI
ANTR	ANDREA
ALT	ALTO
ALSPK	ALSPAUGH
ALPK	ALPAUGH
ALMT	ALMADA
ALNTR	ALLINDER
ALKSNTR	ALEXANDRA
ALKN	ALEQUIN
ALN	ALAN
AKLRT	AGUILLARD
AKRN	AGRON
AJN	AGENA
AFNTR	AFANADOR
AKRL	ACKERLEY
APRF	ABREV
APTL	ABDALLA
ARNSN	AARONSON
SNT	ZYNDA
SK	ZUCCO
SP	ZIPP
STN	ZETINA
SNS	ZENZ
SLNSK	ZELINSKI
ANKRN	YOUNGREN
AXM	YOCHUM
ARSL	YEARSLEY
ANK	YANKEY
ATFRK	WOODFORK
ALNT	WOHLWEND
ALFL	WOELFEL
AST	WISTE
ASMR	WISMER
ANSR	WINZER
ANKR	WINKER
ALKSN	WILKISON
AKR	WIGGER
ARNK	WIERENGA
APS	WHIPPS
ALNK	WHEELING
ASTR	WESTRAY
AX	WESCH
ALT	WELD
APL	WEIBLE
ATL	WEDELL
ATL	WEDDELL
ARSNK	WAWRZYNIAK
ASK	WASKO
AXNTN	WASHINTON
ANTS	WANTZ
ALTS	WALTS
ALNTR	WALLANDER
AN	WAIN
ALN	WAHLEN
AKK	WACHOWIAK
FXL	VOSHELL
FTR	VITERI
FR	VIRE
FLFRT	VILLAFUERTE
FR	VIEYRA
F	VIAU
FS	VESCIO
FRR	VERRIER
FR	VERHEY
FS	VAUSE
FNTRMLN	VANDERMOLEN
FNTRRST	VANDERHORST
FL	VALOIS
FL	VALLA
FLKRT	VALCOURT
FSK	VACEK
ASL	UZZLE
AMLNT	UMLAND
AM	UM
ALMN	ULMAN
ALNT	ULLAND
TRF	TURVEY
TL	TULEY
TRMP0	TREMBATH
TRS	TREES
TRPRT	TRABERT
TSNT	TOWSEND
TTMN	TOTMAN
TS	TOEWS
TP	TOBY
TT	TITO
TX	TISCH
TSP	TISBY
TPNK	TIPPING
TRS	TIERCE
0FRJ	THIVIERGE
TNNPM	TENENBAUM
TKL	TEAGLE
TS	TACY
TPLR	TABLER
SSK	SZEWCZYK
SRNJN	SWEARNGIN
SR	SUIRE
STRK	STURROCK
STP	STUBBE
STRNK	STRONACH
STT	STOUTE
STTMR	STOUDEMIRE
STNPRK	STONEBERG
STRP	STERBA
STSKL	STEJSKAL
STR	STEIER
STR	STEHR
STKLR	STECKLER
STKL	STECKEL
STRMN	STEARMAN
STKL	STEAKLEY
STR	STAR
STNFR0	STANFORTH
STNSL	STANCILL
STLS	STALLS
SRR	SROUR
SPRL	SPROWL
SPFK	SPEVAK
SL	SOLE
SKLF	SOKOLOFF
STRMN	SODERMAN
SNFR	SNOVER
SLMN	SLEEMAN
SLP	SLAUBAUGH
STSMN	SITZMAN
SMPLR	SIMPLER
SMR	SIMMER
SMS	SIMES
SKL	SIEGAL
STT	SIDOTI
STLR	SIDLER
STR	SIDER
STNR	SIDENER
STK	SIDDIQI
XRMN	SHIREMAN
XM	SHIMA
XRN	SHEROAN
XTK	SHADDUCK
SL	SEYAL
SNTL	SENTELL
SNT	SENNETT
SNK	SENKO
SNK	SENECA
SN	SEN
SLKMN	SELIGMAN
SPL	SEIPEL
SKNS	SEEKINS
SP	SEABAUGH
SKTN	SCOUTEN
XNSPRK	SCHWEINSBERG
XRTSPRK	SCHWARTZBERG
XR	SCHURR
XLT	SCHULT
XRK	SCHRICK
XNNK	SCHOENING
XMTMR	SCHMITMEYER
XLKR	SCHLICHER
XLKR	SCHLAGER
XK	SCHACK
XR	SCHAAR
SKFS	SCAVUZZO
SKRP	SCARPA
SSN	SASSANO
SNTK	SANTIGO
SNTFL	SANDAVOL
SN	SAN
SMPSL	SAMPSEL
SMS	SAMMS
SMT	SAMET
SLSN	SALZANO
SLRTS	SALYARDS
SLF	SALVA
ST	SAIDI
SPR	SABIR
SM	SAAM
SP	SAAB
RNNS	RUNIONS
RNTKST	RUNDQUIST
RSL	ROUSSELLE
RNT	ROUND
RTN	ROTUNNO
RSS	ROSES
RX	ROSCH
RMN	ROMNEY
RNR	ROHNER
RF	ROFF
RKL	ROCKHILL
RKFLR	ROCKEFELLER
RKMR	ROCAMORA
RM	RM
RNKL	RINGLE
RK	RIGGIE
RKLFS	RICKLEFS
RKSRT	REXROAT
RFS	REVES
RFL	REVEL
RS	REUSS
RT	RETA
RPK	REPKA
RNTFR	RENTFRO
RNK	REINEKE
RKR	RECORE
RKLT	RECALDE
RS	REASE
RLNK	RAWLING
RFNKRFT	RAVENCRAFT
RFL	RAVELO
RP	RAPPA
RNTL	RANDOL
RMSR	RAMSIER
RMRS	RAMEREZ
RHM	RAHIMI
RHM	RAHIM
RTN	RADNEY
RS	RACEY
RPRN	RABORN
RPL	RABALAIS
KPT	QUEBEDEAUX
PJL	PUJOL
PXLSK	PUCHALSKI
PR0R	PROTHRO
PRFT	PROFFIT
PRK	PRIGGE
PRT	PRIDEAUX
PRF	PREVO
PRTLS	PORTALES
PRK	PORCO
PPFK	POPOVIC
PPK	POPEK
PPJ	POPEJOY
PMP	POMPEI
PLMR	PLUMBER
PLT	PLUDE
PLTNR	PLATNER
PLT	PLATE
PST	PIZZUTO
PSR	PIZER
PSTN	PISTONE
PLR	PILLER
PR	PIERRI
PL	PIEHL
PKRT	PICKERT
PSK	PIASECKI
FNK	PHONG
FLP	PHILIPP
PK	PEUGH
PSKR	PESQUEIRA
PRT	PERRETT
PRFT	PERFETTI
PRSL	PERCELL
PNL	PENHOLLOW
PLT	PELTO
PLT	PELLETT
PFLK	PAVLAK
PL	PAULO
PL	PAULA
PTRS	PATRICIA
PSTRS	PASTORIUS
PRSL	PARSELL
PRLS	PARRALES
PRJ	PAREJA
PRSL	PARCELL
PPN	PAPPAN
PJK	PAJAK
AS	OWUSU
AFT	OVITT
AR	ORY
ARK	ORRICK
ANL	ONIELL
ALF	OLLIFF
ALPRTNK	OLBERDING
ASTRLNK	OESTERLING
ATR	ODWYER
ASKT	OCEGUEDA
AP	OBEY
APRMLR	OBERMILLER
NLNTR	NYLANDER
NLF	NULPH
NTJ	NOTTAGE
NRTM	NORTHAM
NRKRT	NORGARD
NTL	NODAL
NL	NIEL
NKLS	NICOLS
NRT	NEWHARD
NLM	NELLUM
NR	NEIRA
NSR	NAZZARO
NSF	NASSIF
NRTX	NARDUCCI
NLPNTN	NALBANDIAN
NLS	NAILS
MSL	MUSIL
MRK	MURGA
MRK	MURAOKA
MMPR	MUMPER
MLR	MULROY
MNTJ	MOUNTJOY
MS	MOSSEY
MRTN	MORETON
MR	MOREA
MNTR	MONTORO
MNTSTK	MONTESDEOCA
MNTLKR	MONTEALEGRE
MNTN	MONTANYE
MNTNTN	MONTANDON
MK	MOK
MSN	MOISAN
ML	MOHL
MTST	MODESTO
MTST	MODESTE
MTR	MITRA
MSTR	MISTER
MNSN	MINSON
MNJRS	MINJAREZ
MLPRN	MILBOURNE
MKLSN	MICHAELSEN
M0N	METHENEY
MSTR	MESTRE
MXR	MESCHER
MRFS	MERVIS
MNNK	MENNENGA
MLKRJ	MELGAREJO
MSNKR	MEISINGER
MNNKR	MEININGER
MKTRS	MCWATERS
MKRN	MCKERN
MKNTR	MCKENDREE
MKRK	MCHARGUE
MKL0LN	MCGLOTHLEN
MKPN	MCGIBBON
MKFK	MCGAVOCK
MKTF	MCDUFFEE
MKLRKN	MCCLURKIN
MKSLNT	MCCAUSLAND
MKRTL	MCCARDELL
MKMPRJ	MCCAMBRIDGE
MSN	MAZZONI
MN	MAYEN
MKSTN	MAXTON
MSN	MAWSON
MFR	MAUFFRAY
MTNSN	MATTINSON
MTL	MATTILA
MTSNK	MATSUNAGA
MTR	MATER
MS	MASCIA
MRS	MARSE
MRTS	MAROTZ
MR	MAROIS
MRKN	MARKIN
MRK	MARKEE
MRSNK	MARCINKO
MRSN	MARCIN
MNFL	MANVILLE
MNTL	MANTYLA
MNSR	MANSER
MNR	MANRY
MNTRXT	MANDERSCHEID
MLR	MALLARI
ML	MALIA
MLX	MALECHA
MLKMP	MALCOMB
MJRS	MAJERUS
MLMN	MAILMAN
MSNS	MACINNIS
MP	MABEY
LFRT	LYFORD
