    362 B620
    347 M200
    336 R200
    329 B200
    292 L200
    270 B652
    246 M250
    245 S200
    238 B625
    229 S520
    229 H200
    215 B420
    213 M520
    212 M620
    209 S500
    205 S362
    197 S400
    192 S100
    183 P200
    182 D200
    180 M240
    177 B653
    175 S300
    175 C620
    174 G620
    172 S420
    172 B632
    167 L520
    165 P420
    165 C200
    164 P620
    164 D500
    163 M260
    163 D520
    162 S600
    162 M245
    162 B650
    161 M220
    160 S352
    160 D620
    159 S620
    159 F652
    158 B400
    155 R500
    155 K200
    154 S320
    154 M252
    152 B630
    148 S160
    146 H520
    145 K500
    144 B635
    140 B300
    139 T200
    138 K420
    138 B624
    137 S365
    137 M242
    137 B600
    137 B500
    136 M320
    135 F620
    135 C650
    133 M420
    133 L260
    132 M600
    130 P630
    130 B520
    129 K620
    129 K520
    129 B452
    128 V536
    128 L500
    127 B250
    126 B623
    125 T620
    125 S363
    125 C623
    124 S360
    124 M500
    124 C500
    124 B240
    123 G200
    122 R300
    121 L100
    120 D400
    119 T500
    119 R520
    119 M300
    118 N200
    118 L220
    118 F200
    118 C600
    117 R220
    117 C520
    116 S536
    116 S162
    116 G650
    115 S530
    115 R240
    115 P400
    115 B626
    114 M400
    114 B260
    113 R100
    113 L250
    113 G420
    113 B220
    110 C640
    108 R320
    107 S163
    107 S120
    106 L300
    106 C420
    105 D250
    105 C652
    105 B622
    104 B634
    103 M625
    102 R250
    102 H500
    101 S560
    101 P520
    101 H250
    101 F420
    100 T520
    100 S140
    100 L600
     99 S532
     99 P362
     99 M230
     99 L320
     99 C400
     98 S340
     98 R260
     98 J520
     98 G652
     97 R400
     97 L120
     96 S351
     96 S260
     96 K400
     95 D600
     95 B655
     95 A536
     95 A416
     94 C250
     93 S650
     93 S165
     93 M650
     93 M255
     93 G653
     93 G625
     93 B640
     92 T650
     92 B450
     91 L160
     91 G500
     91 C625
     90 W200
     90 S000
     90 P600
     90 H300
     90 D120
     90 C300
     89 S450
     89 R140
     89 M532
     89 M263
     88 M450
     88 M246
     88 H240
     87 S350
     87 R120
     87 M530
     87 H630
     87 G630
     87 G520
     87 G400
     87 F600
     86 M624
     86 M525
     86 K452
     86 H632
     86 G300
     86 D420
     85 K625
     85 C635
     84 S630
     84 R252
     84 M262
     84 B430
     83 V200
     83 S361
     83 B425
     82 T600
     82 M216
     81 S452
     81 L230
     81 L163
     81 H620
     81 H400
     81 G610
     81 G450
     81 C630
     80 P320
     80 M635
     80 M630
     80 L000
     80 H420
     80 G600
     79 M622
     78 S430
     78 S150
     78 P625
     78 H252
     78 A524
     77 W420
     77 P450
     77 M452
     77 D560
     77 C120
     76 S534
     76 L550
     76 L525
     76 K632
     76 D300
     76 D160
     76 D100
     76 C100
     75 S535
     75 P240
     75 M236
     75 L516
     75 H550
     75 C450
     75 B350
     74 T652
     74 P300
     74 L620
     74 C140
     74 B656
     74 B320
     73 T400
     73 M253
     73 F400
     72 S610
     72 S550
     72 S516
     72 S410
     72 S324
     72 P500
     72 M350
     72 G430
     72 C416
     72 C240
     71 K300
     71 F650
     71 F425
     71 C615
     71 B230
     70 R230
     70 P250
     70 M360
     70 M254
     70 K260
     70 G635
     69 T300
     69 S250
     69 H600
     69 C624
     69 C540
     68 P430
     68 K100
     68 G320
     68 D260
     68 B550
     67 W520
     67 S325
     67 S240
     67 K450
     67 K120
     67 J200
     67 B530
     67 B252
     66 S315
     66 P650
     66 P220
     66 D220
     66 C536
     65 S552
     65 S524
     65 S460
     65 S316
     65 M534
     65 D550
     64 T651
     64 S526
     64 S152
     64 R560
     64 R000
     64 N240
     64 M265
     64 L536
     64 L532
     64 K220
     64 K000
     64 J525
     64 C636
     64 C632
     64 A620
     63 W416
     63 T100
     63 N250
     63 M526
     63 L150
     63 H416
     63 H100
     62 S326
     62 R160
     62 M256
     62 M241
     62 L530
     62 L350
     62 K652
     62 H652
     62 H525
     62 H260
     62 E524
     62 D652
     62 D625
     62 C260
     62 B526
     61 Z200
     61 S314
     61 M235
     61 F630
     61 D140
     61 C234
     60 P230
     60 D650
     60 C350
     59 S416
     59 S356
     59 L252
     59 K600
     59 K240
     59 G655
     59 F632
     59 D450
     59 B426
     58 W300
     58 S652
     58 P452
     58 M640
     58 M560
     58 M536
     58 L152
     58 H452
     58 H450
     58 C530
     57 T000
     57 S525
     57 S455
     57 S435
     57 R350
     57 P623
     57 C000
     57 B340
     56 W240
     56 V520
     56 T640
     56 T260
     56 S432
     56 S130
