    271 PRT
    266 PL
    241 PRS
    241 KL
    225 KR
    222 PR
    218 KN
    209 KRS
    195 KT
    190 PT
    190 KRN
    180 PS
    173 TL
    170 PN
    170 KS
    170 KRL
    166 AL
    162 TR
    161 PRN
    160 KLS
    159 SL
    158 TN
    155 PLS
    153 KRT
    148 PLT
    143 PRL
    143 AT
    141 PRK
    141 KLN
    139 PK
    138 TT
    137 ST
    131 RS
    131 PLK
    130 KLT
    129 MS
    127 TS
    124 FL
    122 MR
    121 PLN
    119 MKN
    118 KLR
    117 KRK
    117 FR
    115 TRS
    115 TRN
    111 SR
    111 SK
    111 RT
    110 LS
    109 AR
    108 PNT
    107 STR
    107 AN
    106 PRTN
    105 KP
    105 K
    104 SN
    104 KNT
    103 ML
    103 KRP
    102 PX
    101 KNS
    100 RN
    100 MT
     99 PTR
     99 LR
     98 FRS
     97 MNS
     97 MN
     96 MK
     96 KLK
     94 TK
     94 RL
     94 PTN
     94 LT
     94 ALS
     93 MRS
     93 AK
     92 LK
     92 KTN
     91 TP
     88 TRK
     88 MKL
     88 KRTN
     88 ATL
     87 SKR
     87 LN
     87 HL
     86 STL
     86 RK
     86 MRN
     85 PTL
     85 PNS
     85 FRN
     85 FN
     85 AS
     83 TRT
     82 SS
     82 PLR
     82 KTR
     82 HT
     82 HN
     82 ANK
     82 AKL
     81 XN
     80 PNK
     80 KK
     80 ATN
     80 ALT
     79 PSL
     79 MKR
     78 SP
     78 PRNT
     78 P
     78 MLN
     78 LP
     78 KSK
     77 XL
     77 TNS
     77 KTL
     77 KPL
     77 ARS
     76 PSK
     76 KRTS
     76 FS
     75 KLP
     75 HS
     75 HRT
     74 T
     74 MNT
     74 L
     74 KX
     74 HK
     74 ALR
     73 PSN
     73 PRR
     72 SRN
     72 SNK
     72 FRT
     72 FLR
     72 ARN
     71 XR
     71 TPR
     71 KSL
     71 ALN
     70 TM
     70 STN
     70 SNT
     70 SLS
     70 RX
     70 PTS
     70 PKS
     70 MRT
     69 X
     69 SPR
     69 KSR
     69 FLT
     68 TRL
     68 PRTL
     68 ARK
     68 AKN
     67 PRSL
     67 KTS
     67 KSN
     67 HR
     66 PRX
     66 ANT
     65 SPL
     65 R
     65 PRTS
     65 KST
     65 ANS
     64 TMR
     64 TLN
     64 FRL
     64 FLS
     63 RP
     63 LNS
     63 KNL
     63 ATR
     62 XP
     62 TTR
     62 TLS
     62 SRT
     62 PRM
     62 MTR
     62 MSK
     62 KNN
     62 KNK
     62 ARL
     62 APL
