C600	CURRY
P620	POWERS
S432	SCHULTZ
B626	BARKER
G255	GUZMAN
P200	PAGE
M520	MUNOZ
B400	BALL
K460	KELLER
C534	CHANDLER
W160	WEBER
L563	LEONARD
W420	WALSH
L520	LYONS
R520	RAMSEY
W410	WOLFE
S536	SCHNEIDER
M452	MULLINS
B525	BENSON
S610	SHARP
B500	BOWEN
D540	DANIEL
B616	BARBER
C552	CUMMINGS
H520	HINES
B435	BALDWIN
G613	GRIFFITH
V432	VALDEZ
H163	HUBBARD
S426	SALAZAR
R120	REEVES
W656	WARNER
S315	STEVENSON
B622	BURGESS
S532	SANTOS
T300	TATE
C620	CROSS
G656	GARNER
M500	MANN
M200	MACK
M200	MOSS
T653	THORNTON
D520	DENNIS
M200	MCGEE
F656	FARMER
D423	DELGADO
A246	AGUILAR
V200	VEGA
G416	GLOVER
M552	MANNING
C500	COHEN
H655	HARMON
R326	RODGERS
R152	ROBBINS
N350	NEWTON
T300	TODD
B460	BLAIR
H252	HIGGINS
I526	INGRAM
R200	REESE
C550	CANNON
S362	STRICKLAND
T525	TOWNSEND
P360	POTTER
G350	GOODWIN
W435	WALTON
R000	ROWE
H513	HAMPTON
O632	ORTEGA
P350	PATTON
S525	SWANSON
J210	JOSEPH
F652	FRANCIS
G355	GOODMAN
M435	MALDONADO
Y320	YATES
B260	BECKER
E625	ERICKSON
H322	HODGES
R200	RIOS
C560	CONNER
A325	ADKINS
W123	WEBSTER
N655	NORMAN
M450	MALONE
H553	HAMMOND
F462	FLOWERS
C100	COBB
M300	MOODY
Q500	QUINN
B420	BLAKE
M240	MAXWELL
P100	POPE
F430	FLOYD
O216	OSBORNE
P400	PAUL
M263	MCCARTHY
G660	GUERRERO
L532	LINDSEY
E236	ESTRADA
S531	SANDOVAL
G120	GIBBS
T460	TYLER
G620	GROSS
F326	FITZGERALD
S322	STOKES
D400	DOYLE
S655	SHERMAN
S536	SAUNDERS
W200	WISE
C450	COLON
G400	GILL
A416	ALVARADO
G660	GREER
P340	PADILLA
S550	SIMON
W362	WATERS
N520	NUNEZ
B463	BALLARD
S632	SCHWARTZ
M216	MCBRIDE
H235	HOUSTON
C623	CHRISTENSEN
K450	KLEIN
P630	PRATT
B620	BRIGGS
P625	PARSONS
M242	MCLAUGHLIN
Z565	ZIMMERMAN
F652	FRENCH
B255	BUCHANAN
M650	MORAN
C145	COPELAND
R000	ROY
P355	PITTMAN
B630	BRADY
M265	MCCORMICK
H400	HOLLOWAY
B620	BROCK
P400	POOLE
F652	FRANK
L250	LOGAN
O500	OWEN
B200	BASS
M620	MARSH
D620	DRAKE
W520	WONG
J162	JEFFERSON
P620	PARK
M635	MORTON
A130	ABBOTT
S162	SPARKS
P362	PATRICK
N635	NORTON
H100	HUFF
C435	CLAYTON
M200	MASSEY
L300	LLOYD
F260	FIGUEROA
C625	CARSON
B620	BOWERS
R162	ROBERSON
B635	BARTON
T650	TRAN
L510	LAMB
H652	HARRINGTON
C200	CASEY
B500	BOONE
C632	CORTEZ
C462	CLARKE
M320	MATHIS
S524	SINGLETON
W425	WILKINS
C500	CAIN
B650	BRYAN
U536	UNDERWOOD
H250	HOGAN
M252	MCKENZIE
C460	COLLIER
L500	LUNA
P412	PHELPS
M260	MCGUIRE
A425	ALLISON
B632	BRIDGES
W426	WILKERSON
N200	NASH
S562	SUMMERS
A325	ATKINS
W422	WILCOX
P320	PITTS
C540	CONLEY
M622	MARQUEZ
B653	BURNETT
R263	RICHARD
C265	COCHRAN
C200	CHASE
D151	DAVENPORT
H300	HOOD
G320	GATES
C400	CLAY
A400	AYALA
S600	SAWYER
R550	ROMAN
V220	VAZQUEZ
D262	DICKERSON
H320	HODGE
A223	ACOSTA
F450	FLYNN
E215	ESPINOZA
N242	NICHOLSON
M560	MONROE
W410	WOLF
M600	MORROW
K620	KIRK
R534	RANDALL
A535	ANTHONY
W326	WHITAKER
O256	OCONNOR
S560	SKINNER
W600	WARE
M450	MOLINA
K610	KIRBY
H155	HUFFMAN
B631	BRADFORD
C642	CHARLES
G456	GILMORE
D552	DOMINGUEZ
O540	ONEAL
B620	BRUCE
L520	LANG
C512	COMBS
K656	KRAMER
H300	HEATH
H522	HANCOCK
G426	GALLAGHER
G520	GAINES
S160	SHAFFER
S630	SHORT
W252	WIGGINS
M320	MATHEWS
M245	MCCLAIN
F260	FISCHER
W400	WALL
S540	SMALL
M435	MELTON
H524	HENSLEY
B530	BOND
D600	DYER
C565	CAMERON
G652	GRIMES
C536	CONTRERAS
C623	CHRISTIAN
W300	WYATT
B236	BAXTER
S500	SNOW
M240	MOSLEY
S163	SHEPHERD
L625	LARSEN
H160	HOOVER
B240	BEASLEY
G450	GLENN
P362	PETERSEN
W330	WHITEHEAD
M620	MEYERS
K300	KEITH
G625	GARRISON
V525	VINCENT
S432	SHIELDS
H650	HORN
S120	SAVAGE
O425	OLSEN
S636	SCHROEDER
H635	HARTMAN
W363	WOODARD
M460	MUELLER
K510	KEMP
D450	DELEON
B300	BOOTH
P340	PATEL
C450	CALHOUN
W400	WILEY
E350	EATON
C450	CLINE
N160	NAVARRO
